# commits in default branch,% of signed commits,# branches,# files in default branch,# contributors,# releases,% pre-releases in releases,Average # of assets per release,Average # of mentions per release,Average # of reactions per release,# contributors created release,# deployments,# contributors created deployment,repo size in Kbyte,# tags,# languages,% main language use,# subscribers,# milestones,# labels,# .md files,# stars,# topics,# forks,Average # issues per milestones,% closed milestones,Repo age ,Insertions in default branch,Deletions in default branch,Days from 1st commit in default branch,Days from last commit in default branch,README length (# lines),# Open pull requests,# Closed pull requests,% closed pull requests,% merged pulls among closed,# Open issues,# Closed issues,% closed issues,Average time to close issue (days),Average time to close pull request (days),Number of issue comments,Number of pull request comments,# Devs opened issues,# Devs closed issues,# Devs opened pulls,# permissions in license,# conditions in license,# limitations in license,# reactions in closed issues,# reactions in closed pulls
13075,0.437920489296636,65,20178,449,0,0,0,0,0,0,0,0,508581,0,2,0.971657488843072,117,0,26,4,2286,0,11329,0.000000,0.000000,928,161170,545,928,0,77,1,17260,0.9999420659,,0,542,1,4.869244936,0.866338924,543,39457,309,47,6882,4,1,2,37,220
61,0.442622950819672,3,30,6,3,0,0,0,0,1,0,0,342,3,4,0.682633236062049,124,0,7,1,5415,8,831,0.000000,0.000000,1720,2187,0,1720,624,88,4,23,0.8518518519,0.91304347826087,14,20,0.5882352941,78.100000000,25.391304348,62,16,29,13,10,4,1,2,12,25
4061,0.138143314454568,2,75,432,0,0,0,0,0,0,102,5,14486,0,1,1,2680,0,27,6,75818,6,9527,0.000000,0.000000,2788,5362,3,2789,1,3222,7,3638,0.998079561,0.723474436503573,6,373,0.9841688654,80.517426273,28.875755910,874,6469,238,53,2186,4,1,2,132,185
838,0.096658711217184,10,43,108,14,0.214285714285714,0,0,0.214285714285714,2,0,0,1295,18,1,1,406,14,28,5,11923,6,2077,27.571429,0.785714,3362,13025,1492,3582,34,520,28,463,0.9429735234,0.719222462203024,75,733,0.9071782178,52.946793997,33.488120950,3628,1565,613,150,200,5,3,3,291,84
450,0.522222222222222,2,285,98,3,1,0,0,0,2,0,0,2088,3,1,1,243,0,14,6,8875,11,1638,0.000000,0.000000,2012,16499,0,2012,11,950,1,418,0.9976133652,0.521531100478469,2,48,0.96,196.291666667,150.260765550,130,678,33,20,206,4,1,2,26,3
3910,0.817647058823529,36,2141,446,177,0.293785310734463,2.66101694915254,0,1.92090395480226,4,1436,3,62473,180,11,0.736330214912737,143,25,78,296,8537,15,2109,54.280000,0.920000,1475,352459,5817,1469,0,75,135,3847,0.9660974385,0.884845334026514,1157,2820,0.7090771939,48.125531915,7.885454545,12362,7213,1545,443,711,5,2,3,2525,543
18191,0.320567064124402,6,1507,403,129,0.232558139534884,18.9767441860465,0,0.333333333333333,4,0,0,168783,129,16,0.558455535293495,476,44,249,182,23332,6,3974,18.363636,0.954545,2139,233044,672,2139,0,67,62,6374,0.9903666874,0.842171320991528,622,6559,0.9133825373,74.596955860,8.671681555,22609,17391,3972,918,905,5,2,3,4792,415
44632,0.33319151794711,51,8458,350,140,0,0,0,1.77142857142857,9,0,0,333197,231,7,0.998816254364002,429,233,263,383,6923,3,6236,51.244635,0.978541,1723,1798009,654,2826,0,46,424,10819,0.9622876456,0.836491357796469,3044,9008,0.7474278128,244.884048332,44.653245914,24676,15324,5514,966,2419,5,3,3,62416,27824
6833,0.193826799297835,20,2007,429,178,0.050561797752809,24.7359550561798,0,7.13483146067416,2,0,0,107909,178,5,0.989535971442847,1047,200,30,547,57245,8,6480,11.085000,0.990000,3155,232871,28233,3156,0,224,59,3556,0.9836791148,0.445725534308212,626,5173,0.8920503535,90.464851294,24.636210762,23477,10315,2538,516,1109,5,2,3,2515,847
1792,0.675027870680045,143,628,113,23,0,0,0,7,1,0,0,39043,31,5,0.990610844104212,98,8,44,29,3059,6,395,18.375000,0.875000,1859,103099,122,1859,0,156,15,1502,0.9901120633,0.882822902796272,187,511,0.7320916905,187.835937500,19.012641384,1603,1429,178,48,148,5,2,3,116,130
